"","Genes","GSM972389","GSM972390","GSM972396","GSM972401","GSM972409","GSM972412","GSM972413","GSM972422","GSM972429","GSM972433","GSM972438","GSM972440","GSM972443","GSM972444","GSM972446","GSM972453","GSM972457","GSM972459","GSM972463","GSM972467","GSM972472","GSM972473","GSM972475","GSM972476","GSM972477","GSM972479","GSM972480","GSM972487","GSM972488","GSM972489","GSM972496","GSM972502","GSM972510","GSM972512","GSM972521"
"1","1552309_a_at",7.06279364,4.328807195,5.176166519,6.299246565,5.590528713,4.8835677,6.170295528,5.652801977,3.809356127,8.3795089,7.818406495,6.630604621,5.011447539,7.409411037,4.935860531,4.558716691,4.493533114,4.597041269,4.460031474,9.651750569,5.024715999,5.229732904,3.730584204,8.35814079,4.5738037,7.422226479,4.316895358,4.043208141,4.445145492,4.447052173,4.193761959,4.475349972,4.442801812,4.446994036,6.312772458
"2","1552365_at",7.728803954,5.888264329,4.166348983,4.240724531,5.560093889,5.412859405,4.498951136,5.179615538,7.018477872,7.39012766,6.422198582,5.287911241,4.133577179,6.881459858,4.922307887,5.231258511,7.906614976,6.875371072,6.546401345,3.638011594,6.321577556,7.560920443,7.524995177,3.96382475,5.850725525,4.370703565,5.589782539,8.068337616,7.418521316,6.909509037,4.00450163,4.332507739,6.557941794,7.204427309,5.769171041
"3","1552367_a_at",6.215755362,4.207439752,3.939769336,3.460336372,4.3876185,4.32340561,4.161456789,4.535540118,6.052525951,5.013845009,4.220758618,3.817965806,4.030165303,5.650613455,3.887557673,4.275503321,6.609501915,5.183880394,5.388035042,3.360168097,4.958636971,6.09939641,6.075006859,3.11336082,4.951955933,3.104765669,4.018737982,6.655574395,6.114166856,5.273252053,3.591696793,3.740741176,5.477191903,5.666119903,4.272470569
"4","1552502_s_at",5.362930939,5.00074308,5.524012654,4.230398185,3.755687792,4.196912783,4.202042745,4.081154339,6.384804901,5.002539259,4.758820173,4.615383858,3.388996782,4.390111888,3.869599807,4.650697278,6.049165521,3.478916971,5.307071438,1.675035446,4.891816148,6.070788543,6.240555003,3.834144795,5.647111693,4.861861947,4.707128519,6.733772166,6.509506729,5.566958826,5.748839737,5.867788937,5.716573303,4.403717712,3.654215371
"5","1552508_at",4.121261447,4.354132699,4.126356023,6.172313678,5.668123018,3.785149897,4.801137324,6.250039671,4.201748567,5.072713767,5.938969356,5.17834276,3.754414353,5.499713243,4.326637932,3.666216879,3.987986434,3.763640297,3.771028761,5.580550352,4.603554367,3.934117619,4.09534064,5.534413931,3.966586742,7.197561505,4.097635574,4.0412256,4.22541122,4.138794116,4.173926032,4.125359499,4.446812403,4.45182391,4.673130944
"6","1552735_at",3.335114862,3.951276575,3.257130828,3.278934308,3.561326484,3.313155634,4.165733194,3.226286347,3.373219025,3.435099614,6.240529681,3.566436149,5.681188923,3.993632551,4.830139242,3.693029673,3.328412334,3.85904722,3.187395509,5.022776482,3.272632379,3.389968307,3.427972948,3.894807034,3.699814241,4.110428111,2.939577792,2.955557888,3.171543903,3.526828815,4.880995759,4.627353798,2.878738475,4.660555008,3.685875679
"7","1552767_a_at",4.563696883,6.075442327,4.074613943,3.934870684,4.054003327,5.052666244,6.361062409,3.454896434,4.387937864,3.966484483,7.232900819,7.191091521,3.289023319,7.666772764,7.840403333,7.492643466,6.528380442,3.477328249,3.432642456,5.820490626,3.513652346,8.478755211,3.901562045,7.932518951,8.998570535,6.216290316,3.511117553,6.645555434,4.71897494,4.184474555,7.39934455,6.410582614,7.44492627,3.850942804,7.672165114
"8","1552797_s_at",4.146100317,6.652734004,6.437801966,5.898408154,3.648387414,5.726078908,4.701567149,4.897724438,8.012958833,6.474931212,6.613774214,5.062528325,7.125350066,8.815621699,4.482251056,7.873382725,5.076097166,5.021677494,7.694180791,3.453444569,3.147702035,7.652020349,4.842035365,3.186791627,6.379369282,5.909594245,7.457685359,6.346975547,6.575960352,6.024015402,6.061079306,8.35245107,6.296456966,5.33285407,4.887885653
"9","1552834_at",7.989942317,5.00897611,7.896743403,5.590680909,4.547444812,6.560430616,5.005485919,5.053987518,7.003659355,4.891831453,6.293411833,5.329605406,5.761174813,4.77754685,5.995202746,6.257070684,7.107340511,7.234589219,6.794971191,4.254566383,8.196031093,5.946956231,8.709052642,4.438130743,5.023747328,7.720098082,6.557010151,6.969761778,7.521385149,6.119856643,5.526054542,7.527994687,6.67483313,4.656000334,5.009448641
"10","1552848_a_at",6.10046838,3.383801447,4.378445287,3.458329304,3.197475251,3.373543654,4.06565667,3.921708689,3.285479091,5.7368243,3.72014235,3.600005017,3.502036806,3.579933792,3.798256144,3.054517763,3.053521166,4.724736081,5.294104609,6.928464339,3.050931018,2.990605907,3.457707107,4.80228507,3.155967116,3.961211688,3.270641943,3.597857312,3.470644862,4.581764819,3.380851899,3.320100215,3.355319524,3.608070438,4.132960489
"11","1552870_s_at",2.763971167,3.727881224,3.654000009,3.569434797,3.397684354,4.272485317,4.211379701,3.792482643,3.390099841,3.347893428,2.847605932,3.527010576,2.512931332,2.916615478,4.693168833,3.670008505,4.897941944,2.774259963,5.752868171,2.36585711,2.65232231,4.162903555,2.532682227,5.997668063,6.648729496,2.286855065,4.930976183,6.315825848,6.434278926,5.974244292,7.168389486,3.306865759,6.888891617,5.480826484,3.420933033
"12","1553102_a_at",3.824677081,5.05463981,3.64881588,6.082565081,5.46084124,4.921144342,4.594393065,5.000808181,5.065855479,6.807424363,5.117089884,3.842742599,4.618619985,6.54975333,4.374145892,4.183966289,4.050463277,4.622351159,4.284040584,7.868403099,5.09337042,5.409354509,4.288256454,6.060001478,3.793504752,3.508628451,4.260909859,4.160598305,5.383927525,4.446092429,4.816352114,4.47166883,4.598508398,6.225442796,5.731690054
"13","1553296_at",4.338469899,4.319046557,4.417519082,3.533612199,4.56477159,3.878807641,3.758550185,3.349645757,3.875320219,4.388170257,3.584373752,6.425103599,7.863287876,4.264846592,4.367588303,6.374530766,4.458547963,5.976534492,4.021425144,5.009292187,2.698237379,6.673336248,3.204477693,2.46894828,5.843423122,2.655064615,4.976165286,5.20022761,4.203149619,4.33808367,5.28419157,3.136294312,3.464891143,6.49616625,3.714045698
